#			
# data file: europe-stops			
# 			
stop_code	stop_name	lat	lon
JEN	Jaen	37.771241	-3.787139
ALF	Albufeira (Av Liberdade)	37.091596	-8.254984
CRD	Cordoba	37.888981	-4.789924
EVR	Evora	38.567763	-7.915879
VAE	Valencia	39.48013	-0.387697
BDJ	Badajoz	38.866735	-6.974156
ALD	Almada (Metro Cova Piedade)	38.667889	-9.164611
LBO	Lisbon (Oriente)	38.767747	-9.100603
CSR	Caceres	39.460171	-6.382407
PML	Palermo (Via Fazello)	38.108565	13.366722
CBS	Castelo Branco	39.818732	-7.489239
MAD	Madrid (South Bus Station)	40.395255	-3.677876
LEI	Leiria	39.745825	-8.804976
COI	Coimbra (Rua do Padrao)	40.220224	-8.439456
SMC	Salamanca	40.97042	-5.674751
ZAR	Zaragoza (Delicias Station)	41.659853	-0.911991
PGA	Porto (TIC Campanha)	41.151826	-8.582975
PLA	Palencia	42.016396	-4.536843
BNA	Benavente	41.999163	-5.677168
SRX	International Interconnection Hub	42.305663	-3.825438
BUG	Burgos	42.338244	-3.701226
VEI	Verin	41.939644	-7.43393
MRN	Mormanno	39.901927	15.976179
NAP	Naples (Metropark Centrale)	40.850931	14.273617
CAR	Carcassonne	43.215458	2.347785
BIL	Bilbao	43.261055	-2.948689
CAS	Caserta	41.068959	14.326765
BAY	Bayonne (Quai de Lesseps)	43.497877	-1.478955
AVL	Avellino	40.923186	14.819069
TOU	Toulouse (Central Bus Station Pierre Sémard)	43.612522	1.452612
MAA	Marseille (central bus station St Charles)	43.304081	5.37999
RMA	Rome Anagnina	41.842307	12.587723
BNV	Benevento	41.131499	14.782848
FRO	Frosinone	41.628628	13.326842
CSI	Cassino	41.485309	13.832052
ROM	Rome Tiburtina Bus station	41.909362	12.528317
MTP	Montpellier (Sabines)	43.583932	3.860233
AIX	Aix-en-Provence (Krypton)	43.510992	5.447616
CND	Candela (distr,AGIP)	41.149817	15.526915
LVL	Lavello	41.051769	15.793953
NIT	Nice Airport (Bus Station - Terminal 1)	43.664817	7.209588
FOG	Foggia	41.465945	15.553421
NCC	Nice (Vauban Bus Station)	43.708688	7.286133
SSV	San Severo	41.684741	15.391742
IBA	Bari (Via Capruzzi)	41.11703	16.87138
POL	Polignano a Mare	40.991186	17.217068
PE	Pescara	42.470014	14.204547
SIE	Siena (Stazione FS)	43.331378	11.323178
