#
# data file: europe-positions XY
#
stop_code	x	y
GAS	304	183
HL	619	256
BCK	427	375
HON	399	407
CAE	386	415
MTZ	524	417
UMN	1031	429
MUK	873	439
BST	299	440
N1X	775	443
BRN	669	445
LAL	378	450
AUX	469	459
DIJ	500	474
BOU	444	481
SIO	775	487
HDN	880	488
POI	401	497
GEN	523	508
CMX	538	517
LES	420	520
ZAG	731	521
SBZ	902	521
HUN	877	522
AOT	548	523
BG	598	524
ANL	397	525
CHA	518	528
QKL	722	530
PAD	644	532
QBS	716	532
GBL	514	539
GCU	515	539
BGO	425	540
PGX	408	540
TO	555	543
TOL	555	544
SNJ	708	545
VLC	497	547
BFD	383	549
FER	638	549
BDX	382	550
PR	612	550
BOP	380	550
QGO	718	558
BOL	633	559
CAH	424	561
RA	652	562
GNF	582	562
GNV	582	562
SVN	572	565
BLL	494	566
QPN	718	569
CSN	653	569
SP	601	571
RN	659	573
MSSC	607	574
ALP	496	575
IMP	563	577
MTM	621	578
CTX	369	578
PO	628	578
SJJ	782	578
SRM	558	580
FIM	631	581
FIV	629	581
PI	613	582
NCC	547	583
NIT	546	584
ZKC	773	584
TOU	424	586
ANC	679	586
AON	675	586
MTP	475	586
AIX	509	588
BAY	362	589
ORZ	378	590
SND	313	590
FJS	535	590
MAP	504	590
OVD	270	593
RUN	216	593
HDY	356	593
BZR	462	594
SIE	633	594
PAU	386	594
ENA	633	594
SSD	352	594
MAA	507	594
MRH	683	595
MCT	678	595
BIL	331	596
TRB	395	597
TAB	395	597
CAR	443	597
BTV	643	597
NAR	457	598
NRB	457	599
TLN	519	600
PRG	655	600
PGF	655	600
SMG	659	602
WPE	762	602
PDA	687	606
VIT	337	607
VHF	410	612
PER	454	612
LEX	276	615
ARG	457	616
PE	693	618
LAQ	676	622
ORN	227	622
BUG	315	622
SRX	313	623
SUP	686	629
PBL	253	630
PLA	298	631
BNA	274	632
GRN	453	632
VEI	237	634
ROM	658	634
GIR	452	635
RMA	659	636
FCO	652	638
SSV	718	641
ZAR	374	642
VLD	294	642
FRO	675	642
CSI	685	646
FOG	722	647
BAC	440	649
BXN	439	649
AND	737	653
PGA	212	656
CND	721	656
BNV	706	656
TAR	420	657
IBA	750	657
MDU	748	658
PAW	418	658
CGV	695	658
GTM	711	658
CAS	696	658
LVL	727	659
POL	757	660
SMC	274	661
AVL	706	662
NAP	695	664
NRO	702	665
FSA	706	666
MAT	744	669
SA	705	669
VLA	295	670
AVI	211	670
PTZ	727	670
BRD	772	671
VFO	249	671
BTP	710	671
SAC	722	676
EIA	231	676
MAD	316	677
GIA	239	678
COI	215	682
GAL	729	687
CDL	392	688
MRN	731	690
FRN	737	692
CBS	236	693
LEI	208	695
NZR	202	699
VAE	385	702
AAE	220	702
CSR	259	703
SAN	210	709
GDI	390	716
MDA	259	717
BDJ	246	719
SIA	196	720
LBO	201	721
ALD	200	724
EVR	227	727
ACT	383	733
PML	676	739
CRD	292	745
JEN	314	748
NNA	695	754
NTA	712	755
SLV	267	758
GND	317	763
ALF	219	766
FAV	226	768
MGA	300	776
RAS	279	792
